instance,n_window,asterisk,time
basic,0,0,5.931298518180757
basic,0,1,5.596561499436633
basic,3,0,6.663135608037217
basic,3,0,6.9282257477443165
basic,3,1,6.606697889169224
basic,3,1,6.626812823613413
25_more_games,0,0,8.053222970167715
25_more_games,0,1,7.776013084252596
25_more_games,3,0,9.150742701689488
25_more_games,3,0,9.37623198429733
25_more_games,3,1,8.777266875902717
25_more_games,3,1,8.920126787821536
basic,0,0,6.032210485140456
basic,0,1,5.65395198663077
basic,3,0,7.271979868412018
basic,3,0,7.114213562011854
basic,3,1,6.598153483867525
basic,3,1,6.616039935747734
15_more_games,0,0,8.136247233549671
15_more_games,0,1,7.699007614453706
25_more_games,0,0,8.084663685162857
25_more_games,0,1,7.994545265038887
25_more_games,3,0,9.302736910184299
25_more_games,3,0,9.31943462292352
25_more_games,3,1,8.791391070683723
25_more_games,3,1,8.959813829262965
15_games_in_march,0,0,7.609633147716522
15_games_in_march,0,1,6.889234968026405
